cat_num,enteredby,accn,guid_prefix,identifier_1_value,identifier_1_type,identifier_1_relationship,identifier_2_value,identifier_2_type,agent_1_name,agent_1_role,agent_2_name,agent_2_role,agent_3_name,agent_3_role,agent_4_name,agent_4_role,identification_1,identification_1_order,identification_1_attribute_type_1,identification_1_attribute_value_1,identification_1_agent_1,identification_1_date,identification_1_remark,locality_higher_geog,locality_specific,event_verbatim_locality,event_verbatim_date,event_began_date,event_ended_date,record_event_type,record_event_determiner,record_event_determined_date,record_event_verificationstatus,part_1_name,part_1_condition,part_1_count,part_1_disposition,part_1_remark,part_1_attribute_type_1,part_1_attribute_value_1
2250,jessicatir,97,CRCM:Fish,97-153,institutional catalog number,self,,,Ronnie Van Arsdell,collector,A. E. Perry,collector,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Ronnie Van Arsdell,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",20-Jun-1951,1951-06-20,1951-06-20,collection,Ronnie Van Arsdell,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
1999,jessicatir,97,CRCM:Fish,97-154,institutional catalog number,self,,,N. Hanley,collector,A. E. Perry,collector,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. Hanley,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",20-Jun-1951,1951-06-20,1951-06-20,collection,N. Hanley,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
1990,jessicatir,97,CRCM:Fish,97-743,institutional catalog number,self,,,N. R. Hallock,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. R. Hallock,1951-06-19,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-Jun-1951,1951-06-19,1951-06-19,collection,N. R. Hallock,1951-06-19,,whole organism,unchecked,1,in collection,,preservation,ethanol
2007,jessicatir,97,CRCM:Fish,97-744,institutional catalog number,self,,,N. R. Hallock,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. R. Hallock,1951-06-19,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-Jun-1951,1951-06-19,1951-06-19,collection,N. R. Hallock,1951-06-19,,whole organism,unchecked,1,in collection,,preservation,ethanol
2008,jessicatir,97,CRCM:Fish,97-745,institutional catalog number,self,,,N. R. Hallock,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. R. Hallock,1951-06-19,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-Jun-1951,1951-06-19,1951-06-19,collection,N. R. Hallock,1951-06-19,,whole organism,unchecked,1,in collection,,preservation,ethanol
2009,jessicatir,97,CRCM:Fish,97-746,institutional catalog number,self,,,N. R. Hallock,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. R. Hallock,1951-06-19,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-Jun-1951,1951-06-19,1951-06-19,collection,N. R. Hallock,1951-06-19,,whole organism,unchecked,1,in collection,,preservation,ethanol
1920,jessicatir,97,CRCM:Fish,97-1034,institutional catalog number,self,,,N. Brenneise,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,N. Brenneise,1956-06-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,N. Brenneise,1956-06-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
1103,jessicatir,97,CRCM:Fish,97-1058,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1956-09-10,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",10-Sep-1956,1956-09-10,1956-09-10,collection,Unknown,1956-09-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
1371,jessicatir,97,CRCM:Fish,97-1065,institutional catalog number,self,,,Jerry Snow,collector,Unknown,collector,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Jerry Snow,1960-08-01,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",1-Aug-1960,1960-08-01,1960-08-01,collection,Jerry Snow,1960-08-01,,whole organism,unchecked,1,in collection,,preservation,ethanol
1372,jessicatir,97,CRCM:Fish,97-1066,institutional catalog number,self,,,Jerry Snow,collector,Unknown,collector,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Jerry Snow,1960-08-01,,"United States, Washington, Skagit County",Sharpe Cove,"Sharpes Cove, Skagit Co., Washington",1-Aug-1960,1960-08-01,1960-08-01,collection,Jerry Snow,1960-08-01,,whole organism,unchecked,1,in collection,,preservation,ethanol
988,jessicatir,97,CRCM:Fish,97-1149,institutional catalog number,self,,,D. L. Reiber,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,D. L. Reiber,1956-06-10,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",10-Jun-1956,1956-06-10,1956-06-10,collection,D. L. Reiber,1956-06-10,,whole organism,unchecked,1,in collection,,preservation,ethanol
1288,jessicatir,97,CRCM:Fish,97-1155,institutional catalog number,self,,,Iris Hansen,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Iris Hansen,1956-06-11,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",11-Jun-1956,1956-06-11,1956-06-11,collection,Iris Hansen,1956-06-11,,whole organism,unchecked,1,in collection,,preservation,ethanol
2406,jessicatir,97,CRCM:Fish,97-1156,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1956-06-11,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",11-Jun-1956,1956-06-11,1956-06-11,collection,Unknown,1956-06-11,,whole organism,unchecked,1,in collection,,preservation,ethanol
2027,jessicatir,97,CRCM:Fish,97-1157,institutional catalog number,self,,,Norman Peckham,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Norman Peckham,1956-06-11,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",11-Jun-1956,1956-06-11,1956-06-11,collection,Norman Peckham,1956-06-11,,whole organism,unchecked,1,in collection,,preservation,ethanol
2163,jessicatir,97,CRCM:Fish,97-1158,institutional catalog number,self,,,R. E. Ward,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,R. E. Ward,1956-06-11,,"United States, Washington, Skagit County",Rosario Head,"Rosario Head, Fidalgo Island, Skagit Co., Washington",11-Jun-1956,1956-06-11,1956-06-11,collection,R. E. Ward,1956-06-11,,whole organism,unchecked,1,in collection,,preservation,ethanol
295,jessicatir,97,CRCM:Fish,97-1178,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1956-06-19,,"United States, Washington, Skagit County",Rosario Beach,"Rosario Beach, Skagit Co., Washington",19-Jun-1956,1956-06-19,1956-06-19,collection,Unknown,1956-06-19,,whole organism,unchecked,1,in collection,,preservation,ethanol
820,jessicatir,97,CRCM:Fish,97-1182,institutional catalog number,self,,,C. Minouflet,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,C. Minouflet,1956-07-18,,"United States, Washington, Skagit County",Rosario Beach,"Rosario Beach, Fidalgo Island, Skagit Co., Washington",18-Jul-1956,1956-07-18,1956-07-18,collection,C. Minouflet,1956-07-18,,whole organism,unchecked,1,in collection,,preservation,ethanol
1784,jessicatir,97,CRCM:Fish,97-1185,institutional catalog number,self,,,Koyes,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Koyes,1956-08-05,,"United States, Washington, Skagit County",Rosario Beach,"Rosario Beach, Fidalgo Island, Skagit Co., Washington",5-Aug-1956,1956-08-05,1956-08-05,collection,Koyes,1956-08-05,,whole organism,unchecked,1,in collection,,preservation,ethanol
2407,jessicatir,97,CRCM:Fish,97-1437,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1952-06-30,,"United States, Washington, Skagit County",Ship Harbor,"Ship Harbor, Skagit Co., Washington",Jun-1952,1952-06-01,1952-06-30,collection,Unknown,1952-06-30,,whole organism,unchecked,1,in collection,,preservation,ethanol
2335,jessicatir,97,CRCM:Fish,97-1438,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1952-06-30,,"United States, Washington, Skagit County",Ship Harbor,"Ship Harbor, Skagit Co., Washington",Jun-1952,1952-06-01,1952-06-30,collection,Unknown,1952-06-30,,whole organism,unchecked,1,in collection,,preservation,ethanol
2408,jessicatir,97,CRCM:Fish,97-1439,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1952-06-30,,"United States, Washington, Skagit County",Ship Harbor,"Ship Harbor, Skagit Co., Washington",Jun-1952,1952-06-01,1952-06-30,collection,Unknown,1952-06-30,,whole organism,unchecked,1,in collection,,preservation,ethanol
2409,jessicatir,97,CRCM:Fish,97-1440,institutional catalog number,self,,,Unknown,collector,,,,,,,Gobiesox maeandricus,1,nature of identification,unknown,Unknown,1952-06-30,,"United States, Washington, Skagit County",Ship Harbor,"Ship Harbor, Skagit Co., Washington",Jun-1952,1952-06-01,1952-06-30,collection,Unknown,1952-06-30,,whole organism,unchecked,1,in collection,,preservation,ethanol
